"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"/opt/coldfusion10/cfusion/logs/server.log initialized"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
"Information","ajp-bio-8012-exec-14843","02/16/15","09:26:03",,"BrowserFontProvider: Can't find font file for Tahoma"
