"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-410","01/09/13","06:25:22",,"/opt/coldfusion10/cfusion/logs/webservice.log initialized"
"Information","ajp-bio-8012-exec-410","01/09/13","06:25:22",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/administrator.cfc."
"Information","ajp-bio-8012-exec-410","01/09/13","06:25:23",,"Deploying the CFC http://209.118.39.203/CFIDE/adminapi/administrator.cfc as a web service."
"Information","ajp-bio-8012-exec-2264","09/06/14","12:37:15",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-2264","09/06/14","12:37:15",,"Deploying the CFC http://209.118.39.203/CFIDE/adminapi/base.cfc as a web service."
"Information","ajp-bio-8012-exec-3888","09/24/14","03:14:33",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-8214","10/28/14","17:37:50",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-10426","12/02/14","15:08:41",,"Using Axis 2 framework for servicing the web service request to the endPoint http://mango.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-10426","12/02/14","15:08:42",,"Using Axis 1 framework for servicing the web service request to the endPoint http://mango.standrews-de.org/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-10426","12/02/14","15:08:42",,"Deploying the CFC http://mango.standrews-de.org/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-17891","04/18/15","22:31:23",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-17893","04/18/15","22:36:03",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-19439","05/23/15","14:42:21",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/componentutils/cfcexplorer.cfc."
"Information","ajp-bio-8012-exec-19439","05/23/15","14:42:21",,"Deploying the CFC https://plato.standrews-de.org/CFIDE/componentutils/cfcexplorer.cfc as a web service."
"Information","ajp-bio-8012-exec-19435","05/23/15","14:42:51",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-19437","05/23/15","18:57:17",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-19431","05/23/15","19:55:57",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-19456","05/23/15","20:09:23",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-19438","05/23/15","20:17:40",,"Using Axis 2 framework for servicing the web service request to the endPoint https://plato.standrews-de.org/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-20912","08/15/15","21:24:29",,"Using Axis 1 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-20912","08/15/15","21:24:29",,"Deploying the CFC http://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-20912","08/15/15","21:24:36",,"Using Axis 1 framework for servicing the web service request to the endPoint https://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-20912","08/15/15","21:24:36",,"Deploying the CFC https://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-20918","08/19/15","15:53:24",,"Using Axis 1 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-20918","08/19/15","15:53:24",,"Deploying the CFC http://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-20891","08/19/15","15:53:27",,"Using Axis 1 framework for servicing the web service request to the endPoint https://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-20891","08/19/15","15:53:27",,"Deploying the CFC https://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-1491","09/12/15","04:18:41",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-1491","09/12/15","04:18:41",,"Deploying the CFC http://209.118.39.203/CFIDE/adminapi/base.cfc as a web service."
"Information","ajp-bio-8012-exec-1531","09/12/15","12:44:47",,"Using Axis 1 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-1531","09/12/15","12:44:48",,"Deploying the CFC http://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-1530","09/12/15","12:44:57",,"Using Axis 1 framework for servicing the web service request to the endPoint https://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-1530","09/12/15","12:44:57",,"Deploying the CFC https://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-1550","09/13/15","15:37:53",,"Using Axis 2 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/adminapi/base.cfc."
"Information","ajp-bio-8012-exec-522","09/25/15","23:31:06",,"Using Axis 1 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-522","09/25/15","23:31:06",,"Deploying the CFC http://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-2256","10/24/15","10:02:20",,"Using Axis 1 framework for servicing the web service request to the endPoint http://209.118.39.203/CFIDE/services/pdf.cfc."
"Information","ajp-bio-8012-exec-2256","10/24/15","10:02:20",,"Deploying the CFC http://209.118.39.203/CFIDE/services/pdf.cfc as a web service."
"Information","ajp-bio-8012-exec-2255","10/24/15","10:02:27",,"Using Axis 1 framework for servicing the web service request to the endPoint https://209.118.39.203/CFIDE/services/pdf.cfc."
