"Severity","ThreadID","Date","Time","Application","Message"
"Information","pool-2-thread-1","06/04/12","15:17:18",,"/opt/coldfusion10/cfusion/logs/eventgateway.log initialized"
"Information","pool-2-thread-1","06/04/12","15:17:18",,"Event Gateway Disabled."
"Information","pool-2-thread-1","06/12/12","15:17:03",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/10/12","12:17:02",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/10/12","12:19:20",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/13/12","11:24:54",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/14/12","21:59:42",,"Event Gateway Disabled."
"Information","pool-2-thread-1","02/13/13","17:37:05",,"Event Gateway Disabled."
"Information","pool-2-thread-1","02/19/13","14:14:26",,"Event Gateway Disabled."
"Information","pool-2-thread-1","03/14/13","11:46:10",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/27/13","21:58:33",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/28/13","09:13:13",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/28/13","19:21:29",,"Event Gateway Disabled."
"Information","pool-2-thread-1","11/06/13","14:55:07",,"Event Gateway Disabled."
"Information","pool-2-thread-1","11/06/13","16:27:53",,"Event Gateway Disabled."
"Information","pool-2-thread-1","01/06/14","13:08:40",,"Event Gateway Disabled."
"Information","pool-2-thread-1","04/15/14","10:47:23",,"Event Gateway Disabled."
"Information","pool-2-thread-1","04/16/14","12:03:38",,"Event Gateway Disabled."
"Information","pool-2-thread-1","04/16/14","18:46:36",,"Event Gateway Disabled."
"Information","pool-2-thread-1","05/19/14","23:59:07",,"Event Gateway Disabled."
"Information","pool-2-thread-1","06/09/14","17:09:27",,"Event Gateway Disabled."
"Information","pool-2-thread-1","07/31/14","18:03:04",,"Event Gateway Disabled."
"Information","pool-2-thread-1","08/26/15","08:45:56",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/23/15","11:13:50",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/30/15","12:05:49",,"Event Gateway Disabled."
"Information","pool-2-thread-1","09/30/15","22:49:11",,"Event Gateway Disabled."
"Information","pool-2-thread-1","01/29/16","11:02:35",,"Event Gateway Disabled."
