"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-1","06/12/12","14:59:23",,"/opt/coldfusion10/cfusion/logs/security.log initialized"
"Information","ajp-bio-8012-exec-1","06/12/12","14:59:23",,"An error occurred while fetching element from authcache."
"Information","ajp-bio-8012-exec-374","08/16/13","11:47:00",,"An error occurred while fetching element from authcache."
"Information","ajp-bio-8012-exec-1490","08/26/13","09:20:29",,"An error occurred while fetching element from authcache."
"Information","ajp-bio-8012-exec-1507","08/26/13","11:25:42",,"An error occurred while fetching element from authcache."
"Information","ajp-bio-8012-exec-1795","08/28/13","14:25:53",,"An error occurred while fetching element from authcache."
"Information","ajp-bio-8012-exec-3243","09/01/13","14:55:50",,"An error occurred while fetching element from authcache."
"Error","ajp-bio-8012-exec-14048","02/10/15","14:14:58",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14080","02/10/15","14:15:02",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14060","02/10/15","14:15:14",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14043","02/10/15","14:15:19",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14055","02/10/15","14:15:21",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14136","02/10/15","16:35:21",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14285","02/11/15","19:11:31",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14285","02/11/15","19:11:31",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14292","02/11/15","19:11:32",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14289","02/11/15","19:11:32",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14288","02/11/15","19:11:49",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14320","02/11/15","19:16:45",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14322","02/11/15","19:18:09",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14329","02/11/15","19:18:10",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14330","02/11/15","19:18:10",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14306","02/11/15","19:18:11",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14319","02/11/15","19:18:42",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14329","02/11/15","19:18:43",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14329","02/11/15","19:18:44",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14332","02/11/15","19:18:58",,"'' Can not decode string ""--==""."
"Error","ajp-bio-8012-exec-14558","02/13/15","15:26:27",,"'' Can not decode string ""1  X-CRLF-Safe-693b0845f7c1a39cb029b8618a08be63=""."
"Error","ajp-bio-8012-exec-14536","02/13/15","15:26:27",,"'' Can not decode string ""1  X-CRLF-Safe-693b0845f7c1a39cb029b8618a08be63=""."
"Error","ajp-bio-8012-exec-14589","02/13/15","15:26:27",,"'' Can not decode string ""  X-CRLF-Safe-693b0845f7c1a39cb029b8618a08be63==""."
"Error","ajp-bio-8012-exec-14595","02/13/15","15:26:29",,"'' Can not decode string ""1#^=""."
"Error","ajp-bio-8012-exec-14597","02/13/15","15:26:45",,"'' Can not decode string ""tests.arachni-scanner.com/rfi.md5.txt ==""."
"Error","ajp-bio-8012-exec-14598","02/13/15","15:26:45",,"1"
"Error","ajp-bio-8012-exec-14601","02/13/15","15:26:45",,"'' Can not decode string ""1_arachni_trainer_693b0845f7c1a39cb029b8618a08be63 =""."
"Error","ajp-bio-8012-exec-14602","02/13/15","15:26:45",,"'' Can not decode string ""_arachni_trainer_693b0845f7c1a39cb029b8618a08be63===""."
"Error","ajp-bio-8012-exec-14606","02/13/15","15:26:45",,"'' Can not decode string ""_arachni_trainer_693b0845f7c1a39cb029b8618a08be63 ==""."
"Error","ajp-bio-8012-exec-14576","02/13/15","15:26:46",,"'' Can not decode string ""1_arachni_trainer_693b0845f7c1a39cb029b8618a08be63==""."
"Error","ajp-bio-8012-exec-14582","02/13/15","15:26:46",,"1"
"Error","ajp-bio-8012-exec-14560","02/13/15","15:26:46",,"'' Can not decode string ""1tests.arachni-scanner.com/rfi.md5.txt =""."
"Error","ajp-bio-8012-exec-14556","02/13/15","15:26:46",,"'' Can not decode string ""1tests.arachni-scanner.com/rfi.md5.txt==""."
"Error","ajp-bio-8012-exec-14641","02/13/15","15:27:00",,"1"
"Error","ajp-bio-8012-exec-14643","02/13/15","15:27:01",,"1"
"Error","ajp-bio-8012-exec-14646","02/13/15","15:27:01",,"1"
"Error","ajp-bio-8012-exec-14549","02/13/15","15:27:02",,"'' Can not decode string ""tests.arachni-scanner.com/rfi.md5.txt===""."
"Error","ajp-bio-8012-exec-14542","02/13/15","15:27:02",,"1"
"Error","ajp-bio-8012-exec-14648","02/13/15","15:27:02",,"1"
"Error","ajp-bio-8012-exec-14651","02/13/15","15:27:03",,"1"
"Error","ajp-bio-8012-exec-14620","02/13/15","15:27:03",,"'' Can not decode string ""  X-CRLF-Safe-693b0845f7c1a39cb029b8618a08be63==""."
"Error","ajp-bio-8012-exec-14586","02/13/15","15:27:33",,"'' Can not decode string ""www.arachni-boogie-woogie.com===""."
"Error","ajp-bio-8012-exec-14568","02/13/15","15:27:33",,"'' Can not decode string ""1www.arachni-boogie-woogie.com==""."
"Error","ajp-bio-8012-exec-14541","02/13/15","15:27:33",,"'' Can not decode string ""www.arachni-boogie-woogie.com ==""."
"Error","ajp-bio-8012-exec-14629","02/13/15","15:27:33",,"1"
"Error","ajp-bio-8012-exec-14638","02/13/15","15:27:33",,"1"
"Error","ajp-bio-8012-exec-14610","02/13/15","15:27:33",,"1"
"Error","ajp-bio-8012-exec-14532","02/13/15","15:27:33",,"1"
"Error","ajp-bio-8012-exec-14639","02/13/15","15:27:33",,"1"
