"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-8356","01/10/16","16:47:14",,"/opt/coldfusion10/cfusion/logs/feed.log initialized"
"Information","ajp-bio-8012-exec-8354","01/10/16","16:47:16",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8354","01/10/16","16:47:16",,"FEED reading completed {Time taken=117 ms}"
"Information","ajp-bio-8012-exec-8348","01/10/16","17:28:46",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8348","01/10/16","17:28:47",,"FEED reading completed {Time taken=147 ms}"
"Information","ajp-bio-8012-exec-8354","01/10/16","17:36:23",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8354","01/10/16","17:36:23",,"FEED reading completed {Time taken=191 ms}"
"Information","ajp-bio-8012-exec-8350","01/10/16","18:19:14",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8350","01/10/16","18:19:14",,"FEED reading completed {Time taken=158 ms}"
"Information","ajp-bio-8012-exec-8345","01/10/16","18:24:24",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8345","01/10/16","18:24:24",,"FEED reading completed {Time taken=148 ms}"
"Information","ajp-bio-8012-exec-8355","01/10/16","18:44:03",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8355","01/10/16","18:44:03",,"FEED reading completed {Time taken=143 ms}"
"Information","ajp-bio-8012-exec-8348","01/10/16","19:10:33",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8348","01/10/16","19:10:33",,"FEED reading completed {Time taken=344 ms}"
"Information","ajp-bio-8012-exec-8360","01/10/16","19:25:44",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8360","01/10/16","19:25:44",,"FEED reading completed {Time taken=142 ms}"
"Information","ajp-bio-8012-exec-8342","01/10/16","19:29:16",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8342","01/10/16","19:29:16",,"FEED reading completed {Time taken=153 ms}"
"Information","ajp-bio-8012-exec-8363","01/10/16","19:37:22",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8363","01/10/16","19:37:22",,"FEED reading completed {Time taken=152 ms}"
"Information","ajp-bio-8012-exec-8363","01/10/16","19:49:20",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8363","01/10/16","19:49:20",,"FEED reading completed {Time taken=149 ms}"
"Information","ajp-bio-8012-exec-8362","01/10/16","19:55:52",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8362","01/10/16","19:55:53",,"FEED reading completed {Time taken=315 ms}"
"Information","ajp-bio-8012-exec-8368","01/10/16","19:59:26",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8368","01/10/16","19:59:26",,"FEED reading completed {Time taken=261 ms}"
"Information","ajp-bio-8012-exec-8350","01/10/16","20:02:00",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8350","01/10/16","20:02:00",,"FEED reading completed {Time taken=309 ms}"
"Information","ajp-bio-8012-exec-8365","01/10/16","20:04:56",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8365","01/10/16","20:04:56",,"FEED reading completed {Time taken=171 ms}"
"Information","ajp-bio-8012-exec-8376","01/10/16","20:08:53",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8376","01/10/16","20:08:53",,"FEED reading completed {Time taken=242 ms}"
"Information","ajp-bio-8012-exec-8379","01/10/16","20:14:07",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8379","01/10/16","20:14:07",,"FEED reading completed {Time taken=146 ms}"
"Information","ajp-bio-8012-exec-8382","01/10/16","20:24:43",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8382","01/10/16","20:24:43",,"FEED reading completed {Time taken=146 ms}"
"Information","ajp-bio-8012-exec-8374","01/10/16","20:43:50",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8374","01/10/16","20:43:50",,"FEED reading completed {Time taken=159 ms}"
"Information","ajp-bio-8012-exec-8389","01/10/16","20:47:23",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8389","01/10/16","20:47:23",,"FEED reading completed {Time taken=156 ms}"
"Information","ajp-bio-8012-exec-8388","01/10/16","20:56:01",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/10/16","20:56:01",,"FEED reading completed {Time taken=146 ms}"
"Information","ajp-bio-8012-exec-8372","01/10/16","21:01:06",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8372","01/10/16","21:01:06",,"FEED reading completed {Time taken=154 ms}"
"Information","ajp-bio-8012-exec-8374","01/10/16","21:09:58",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8374","01/10/16","21:09:58",,"FEED reading completed {Time taken=156 ms}"
"Information","ajp-bio-8012-exec-8372","01/10/16","21:11:17",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8372","01/10/16","21:11:17",,"FEED reading completed {Time taken=143 ms}"
"Information","ajp-bio-8012-exec-8385","01/10/16","21:12:29",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8385","01/10/16","21:12:29",,"FEED reading completed {Time taken=142 ms}"
"Information","ajp-bio-8012-exec-8374","01/10/16","21:13:35",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8374","01/10/16","21:13:36",,"FEED reading completed {Time taken=138 ms}"
"Information","ajp-bio-8012-exec-8390","01/10/16","21:18:08",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8390","01/10/16","21:18:09",,"FEED reading completed {Time taken=148 ms}"
"Information","ajp-bio-8012-exec-8388","01/10/16","21:26:45",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/10/16","21:26:45",,"FEED reading completed {Time taken=141 ms}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:29:16",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:29:16",,"FEED reading completed {Time taken=372 ms}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:29:27",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:29:28",,"FEED reading completed {Time taken=775 ms}"
"Information","ajp-bio-8012-exec-8390","01/10/16","21:30:04",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8390","01/10/16","21:30:05",,"FEED reading completed {Time taken=414 ms}"
"Information","ajp-bio-8012-exec-8387","01/10/16","21:34:54",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8387","01/10/16","21:34:54",,"FEED reading completed {Time taken=152 ms}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:44:00",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:44:14",,"FEED reading completed {Time taken=13412 ms}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:44:44",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8389","01/10/16","21:44:45",,"FEED reading completed {Time taken=369 ms}"
"Information","ajp-bio-8012-exec-8376","01/10/16","21:47:12",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8376","01/10/16","21:47:12",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8387","01/10/16","21:50:36",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8387","01/10/16","21:50:36",,"FEED reading completed {Time taken=387 ms}"
"Information","ajp-bio-8012-exec-8388","01/10/16","22:05:06",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/10/16","22:05:06",,"FEED reading completed {Time taken=152 ms}"
"Information","ajp-bio-8012-exec-8392","01/10/16","22:36:06",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8392","01/10/16","22:36:06",,"FEED reading completed {Time taken=154 ms}"
"Information","ajp-bio-8012-exec-8376","01/10/16","22:40:22",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8376","01/10/16","22:40:23",,"FEED reading completed {Time taken=151 ms}"
"Information","ajp-bio-8012-exec-8386","01/10/16","22:40:48",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8386","01/10/16","22:40:49",,"FEED reading completed {Time taken=128 ms}"
"Information","ajp-bio-8012-exec-8390","01/10/16","22:40:58",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8390","01/10/16","22:40:58",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8385","01/10/16","22:45:07",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8385","01/10/16","22:45:07",,"FEED reading completed {Time taken=150 ms}"
"Information","ajp-bio-8012-exec-8388","01/10/16","22:47:10",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/10/16","22:47:10",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8380","01/10/16","22:51:23",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/10/16","22:51:23",,"FEED reading completed {Time taken=150 ms}"
"Information","ajp-bio-8012-exec-8390","01/10/16","22:52:12",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8390","01/10/16","22:52:12",,"FEED reading completed {Time taken=146 ms}"
"Information","ajp-bio-8012-exec-8390","01/10/16","23:00:17",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8390","01/10/16","23:00:17",,"FEED reading completed {Time taken=227 ms}"
"Information","ajp-bio-8012-exec-8387","01/11/16","01:33:30",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8387","01/11/16","01:33:30",,"FEED reading completed {Time taken=159 ms}"
"Information","ajp-bio-8012-exec-8387","01/11/16","07:16:58",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8387","01/11/16","07:16:59",,"FEED reading completed {Time taken=162 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","07:19:22",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","07:19:22",,"FEED reading completed {Time taken=133 ms}"
"Information","ajp-bio-8012-exec-8388","01/11/16","07:26:19",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/11/16","07:26:19",,"FEED reading completed {Time taken=158 ms}"
"Information","ajp-bio-8012-exec-8387","01/11/16","07:31:37",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8387","01/11/16","07:31:38",,"FEED reading completed {Time taken=156 ms}"
"Information","ajp-bio-8012-exec-8388","01/11/16","08:06:58",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8388","01/11/16","08:06:58",,"FEED reading completed {Time taken=144 ms}"
"Information","ajp-bio-8012-exec-8393","01/11/16","08:07:55",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8393","01/11/16","08:07:55",,"FEED reading completed {Time taken=136 ms}"
"Information","ajp-bio-8012-exec-8393","01/11/16","08:07:59",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8393","01/11/16","08:08:00",,"FEED reading completed {Time taken=134 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:14:54",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:14:54",,"FEED reading completed {Time taken=148 ms}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:16:59",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:17:00",,"FEED reading completed {Time taken=152 ms}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:18:21",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:18:21",,"FEED reading completed {Time taken=141 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:19:57",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:19:57",,"FEED reading completed {Time taken=129 ms}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:21:07",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:21:07",,"FEED reading completed {Time taken=137 ms}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:21:55",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:21:55",,"FEED reading completed {Time taken=124 ms}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:25:40",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:25:40",,"FEED reading completed {Time taken=136 ms}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:26:02",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:26:03",,"FEED reading completed {Time taken=131 ms}"
"Information","ajp-bio-8012-exec-8402","01/11/16","08:35:18",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8402","01/11/16","08:35:18",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:37:57",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:37:58",,"FEED reading completed {Time taken=136 ms}"
"Information","ajp-bio-8012-exec-8395","01/11/16","08:42:36",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8395","01/11/16","08:42:36",,"FEED reading completed {Time taken=152 ms}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:47:13",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:47:13",,"FEED reading completed {Time taken=138 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:47:15",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:47:15",,"FEED reading completed {Time taken=128 ms}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:48:39",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8397","01/11/16","08:48:39",,"FEED reading completed {Time taken=170 ms}"
"Information","ajp-bio-8012-exec-8395","01/11/16","08:48:41",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8395","01/11/16","08:48:41",,"FEED reading completed {Time taken=121 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:49:41",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:49:41",,"FEED reading completed {Time taken=132 ms}"
"Information","ajp-bio-8012-exec-8402","01/11/16","08:50:26",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8402","01/11/16","08:50:26",,"FEED reading completed {Time taken=132 ms}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:51:31",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:51:31",,"FEED reading completed {Time taken=148 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:52:04",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:52:04",,"FEED reading completed {Time taken=121 ms}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:53:28",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:53:28",,"FEED reading completed {Time taken=315 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:53:44",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","08:53:44",,"FEED reading completed {Time taken=121 ms}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:54:01",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8396","01/11/16","08:54:01",,"FEED reading completed {Time taken=129 ms}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:54:55",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8399","01/11/16","08:54:56",,"FEED reading completed {Time taken=140 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:58:49",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","08:58:50",,"FEED reading completed {Time taken=150 ms}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:58:59",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8400","01/11/16","08:58:59",,"FEED reading completed {Time taken=132 ms}"
"Information","ajp-bio-8012-exec-8398","01/11/16","09:00:03",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8398","01/11/16","09:00:03",,"FEED reading completed {Time taken=136 ms}"
"Information","ajp-bio-8012-exec-8402","01/11/16","09:01:09",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8402","01/11/16","09:01:09",,"FEED reading completed {Time taken=146 ms}"
"Information","ajp-bio-8012-exec-8397","01/11/16","09:03:12",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8397","01/11/16","09:03:12",,"FEED reading completed {Time taken=143 ms}"
"Information","ajp-bio-8012-exec-8406","01/11/16","09:04:56",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8406","01/11/16","09:04:56",,"FEED reading completed {Time taken=132 ms}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:06:25",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:06:26",,"FEED reading completed {Time taken=142 ms}"
"Information","ajp-bio-8012-exec-8400","01/11/16","09:07:24",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8400","01/11/16","09:07:24",,"FEED reading completed {Time taken=140 ms}"
"Information","ajp-bio-8012-exec-8405","01/11/16","09:07:56",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8405","01/11/16","09:07:56",,"FEED reading completed {Time taken=156 ms}"
"Information","ajp-bio-8012-exec-8407","01/11/16","09:09:37",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8407","01/11/16","09:09:37",,"FEED reading completed {Time taken=164 ms}"
"Information","ajp-bio-8012-exec-8411","01/11/16","09:15:49",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8411","01/11/16","09:15:50",,"FEED reading completed {Time taken=163 ms}"
"Information","ajp-bio-8012-exec-8410","01/11/16","09:16:55",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8410","01/11/16","09:16:55",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8409","01/11/16","09:17:20",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8409","01/11/16","09:17:20",,"FEED reading completed {Time taken=129 ms}"
"Information","ajp-bio-8012-exec-8408","01/11/16","09:18:48",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8408","01/11/16","09:18:48",,"FEED reading completed {Time taken=145 ms}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:20:04",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:20:04",,"FEED reading completed {Time taken=151 ms}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:20:05",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:20:05",,"FEED reading completed {Time taken=132 ms}"
"Information","ajp-bio-8012-exec-8404","01/11/16","09:20:22",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8404","01/11/16","09:20:22",,"FEED reading completed {Time taken=131 ms}"
"Information","ajp-bio-8012-exec-8407","01/11/16","09:20:33",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8407","01/11/16","09:20:34",,"FEED reading completed {Time taken=119 ms}"
"Information","ajp-bio-8012-exec-8411","01/11/16","09:22:24",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8411","01/11/16","09:22:24",,"FEED reading completed {Time taken=139 ms}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:22:47",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8403","01/11/16","09:22:47",,"FEED reading completed {Time taken=130 ms}"
"Information","ajp-bio-8012-exec-8415","01/11/16","09:26:26",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8415","01/11/16","09:26:26",,"FEED reading completed {Time taken=155 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","09:27:46",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","09:27:46",,"FEED reading completed {Time taken=138 ms}"
"Information","ajp-bio-8012-exec-8416","01/11/16","09:29:27",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8416","01/11/16","09:29:27",,"FEED reading completed {Time taken=143 ms}"
"Information","ajp-bio-8012-exec-8380","01/11/16","09:31:33",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8380","01/11/16","09:31:33",,"FEED reading completed {Time taken=138 ms}"
"Information","ajp-bio-8012-exec-8409","01/11/16","09:36:10",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8409","01/11/16","09:36:10",,"FEED reading completed {Time taken=138 ms}"
"Information","ajp-bio-8012-exec-8418","01/11/16","09:38:57",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8418","01/11/16","09:38:57",,"FEED reading completed {Time taken=149 ms}"
"Information","ajp-bio-8012-exec-8422","01/11/16","09:41:53",,"Reading FEED {source='https://techatsas.wordpress.com/feed/'}"
"Information","ajp-bio-8012-exec-8422","01/11/16","09:41:53",,"FEED reading completed {Time taken=128 ms}"
