"Severity","ThreadID","Date","Time","Application","Message"
"Information","ajp-bio-8012-exec-19503","05/24/15","22:21:37",,"/opt/coldfusion10/cfusion/logs/audit.log initialized"
"Information","ajp-bio-8012-exec-19503","05/24/15","22:21:37","CFADMIN","User admin deleted log file audit.log "
"Information","ajp-bio-8012-exec-19503","05/24/15","22:21:52","CFADMIN","User admin deleted log file exception.log "
"Information","ajp-bio-8012-exec-20816","07/07/15","17:01:24","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20833","07/10/15","14:35:59","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20832","07/10/15","14:36:08",,"User phoopes deleted datasource studentinfo1213."
"Information","ajp-bio-8012-exec-20837","07/10/15","14:37:16",,"User phoopes added datasource SAS_Student_Data."
"Information","ajp-bio-8012-exec-20837","07/14/15","12:30:56","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20837","07/14/15","12:31:30",,"User phoopes added datasource Socrates45."
"Information","ajp-bio-8012-exec-20838","07/15/15","09:38:00","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20837","07/15/15","09:38:37","CFADMIN","User phoopes logged out"
"Information","ajp-bio-8012-exec-20837","07/15/15","09:38:58","CFADMIN","User admin logged in."
"Information","ajp-bio-8012-exec-20838","07/15/15","09:39:31",,"User admin enabled RDS security"
"Information","ajp-bio-8012-exec-20838","07/15/15","09:39:31",,"User admin has set RDS authentication type to: No authentication needed "
"Information","ajp-bio-8012-exec-20846","07/15/15","09:40:08",,"User admin disabled RDS security"
"Information","ajp-bio-8012-exec-20847","07/15/15","09:40:57",,"User admin disabled RDS security"
"Information","ajp-bio-8012-exec-20847","07/15/15","09:41:11",,"User admin disabled RDS security"
"Information","ajp-bio-8012-exec-20846","07/15/15","09:44:58",,"User admin disabled RDS security"
"Information","ajp-bio-8012-exec-20846","07/15/15","09:44:58",,"User admin has set RDS authentication type to: No authentication needed "
"Information","ajp-bio-8012-exec-20891","08/18/15","17:53:23","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20913","08/19/15","09:17:15","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-20937","08/26/15","08:43:17","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-765","09/07/15","23:47:11","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-762","09/07/15","23:47:46",,"User phoopes added current IP address that should receive debugging messages"
"Information","ajp-bio-8012-exec-743","09/07/15","23:53:54",,"User phoopes removed an IP address that should receive debugging messages"
"Information","ajp-bio-8012-exec-743","09/07/15","23:53:56",,"User phoopes removed an IP address that should receive debugging messages"
"Information","ajp-bio-8012-exec-147","09/30/15","22:27:29","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-144","09/30/15","22:28:18","CFADMIN","User phoopes added/edited datasource FMP13."
"Information","ajp-bio-8012-exec-155","09/30/15","22:34:16","CFADMIN","User phoopes added/edited datasource FMP13."
"Information","ajp-bio-8012-exec-2","09/30/15","22:49:46","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-2558","10/28/15","15:28:59","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-2576","10/28/15","16:20:46","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-2580","10/28/15","19:35:49","CFADMIN","User phoopes logged in."
"Information","ajp-bio-8012-exec-5560","11/13/15","10:58:32","CFADMIN","User phoopes logged in."
